id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude
C1016,Frequent power tripping and voltage fluctuation in Karol Bagh.,Electrical,Power Outage,Karol Bagh,5 days,27.48816,77.67948
C1017,Street lights not working along entire road in Bandra West for a few days.,Electrical,Street Light,Bandra West,a few days,27.50977,77.70962
C1018,Stray dog menace and aggressive biting incidents in Koramangala.,Other,Animal Menace,Koramangala,5 days,27.49216,77.69608
C1019,Large tree branch fell down blocking walkway in Rohini Sector 15 garden.,Parks,Tree Falling,Rohini Sector 15,1 week,27.49996,77.69343
C1020,General civic grievance regarding services delay in Connaught Place.,Other,Other,Connaught Place,a few days,27.52003,77.70513
C1021,Stormwater drain clogged with plastic in Jubilee Hills.,Sewage,Blocked Drain,Jubilee Hills,4 days,27.51805,77.69163
C1022,Traffic light malfunctioning and blinking red at Rohini Sector 15.,Traffic,Traffic Signal Issue,Rohini Sector 15,24 hours,27.52047,77.67288
C1023,Traffic light malfunctioning and blinking red at Andheri East.,Traffic,Traffic Signal Issue,Andheri East,yesterday,27.52859,77.70108
C1024,Underground pipe leaking near Bandra West causing water pressure loss.,Water,Water Leakage,Bandra West,4 days,27.52207,77.69474
C1025,Severe water shortage in Civil Lines for the past 4 days.,Water,No Water Supply,Civil Lines,4 days,27.48904,77.67268
C1026,Residents falling sick due to contaminated water supply in Andheri East.,Water,Contaminated Water,Andheri East,1 week,27.50034,77.70186
C1027,Sewage water overflowing from manhole flooding Andheri East for 24 hours.,Sewage,Sewage Overflow,Andheri East,24 hours,27.49886,77.67799
C1028,Severe traffic gridlock due to illegal parking in Jubilee Hills.,Traffic,Traffic Congestion,Jubilee Hills,2 days,27.52486,77.67645
C1029,Illegal dumping of commercial plastic and building debris at Salt Lake.,Sanitation,Garbage Dump,Salt Lake,5 days,27.51002,77.69095
C1030,Illegal dumping of commercial plastic and building debris at Dwarka Sector 10.,Sanitation,Garbage Dump,Dwarka Sector 10,yesterday,27.51866,77.69772
C1031,Stray dog menace and aggressive biting incidents in Saket.,Other,Animal Menace,Saket,a few days,27.5161,77.68163
C1032,Frequent power tripping and voltage fluctuation in Bandra West.,Electrical,Power Outage,Bandra West,24 hours,27.49981,77.6925
C1033,"No water supply for 3 days in Jubilee Hills, please restore immediately.",Water,No Water Supply,Jubilee Hills,3 days,27.51505,77.67796
C1034,Transformer sparking loudly and emitting smoke near Civil Lines.,Electrical,Open Wire / Sparking,Civil Lines,yesterday,27.51503,77.68969
C1035,Commercial delivery trucks parked illegally blocking lane at Koramangala.,Traffic,Illegal Parking,Koramangala,1 week,27.52611,77.68681
C1036,Underground pipe leaking near Karol Bagh causing water pressure loss.,Water,Water Leakage,Karol Bagh,yesterday,27.5291,77.68305
C1037,Transformer sparking loudly and emitting smoke near Krishna Nagar.,Electrical,Open Wire / Sparking,Krishna Nagar,3 days,27.52987,77.66782
C1038,Broken speed breaker without markings near Salt Lake.,Roads,Damaged Road,Salt Lake,24 hours,27.51479,77.67485
C1039,Complete power outage in Salt Lake for 4 days.,Electrical,Power Outage,Salt Lake,4 days,27.51777,77.70641
C1040,Broken speed breaker without markings near Sector 62.,Roads,Damaged Road,Sector 62,5 days,27.48641,77.67438
C1041,Street lights not working along entire road in Saket for 24 hours.,Electrical,Street Light,Saket,24 hours,27.51459,77.67054
C1042,Complete power outage in Vasant Kunj for a few days.,Electrical,Power Outage,Vasant Kunj,a few days,27.49743,77.67162
C1043,"Road surface eroded and broken near Janakpuri, difficult to drive.",Roads,Damaged Road,Janakpuri,2 days,27.50118,77.67543
C1044,General civic grievance regarding services delay in Salt Lake.,Other,Other,Salt Lake,2 days,27.52174,77.681
C1045,Transformer sparking loudly and emitting smoke near Bandra West.,Electrical,Open Wire / Sparking,Bandra West,3 days,27.4954,77.70326
C1046,"No water supply for 2 days in MG Road, please restore immediately.",Water,No Water Supply,MG Road,2 days,27.48894,77.70008
C1047,Severe water shortage in Salt Lake for the past 1 week.,Water,No Water Supply,Salt Lake,1 week,27.52957,77.70709
C1048,Severe traffic gridlock due to illegal parking in Civil Lines.,Traffic,Traffic Congestion,Civil Lines,4 days,27.51966,77.69006
C1049,Sewage water overflowing from manhole flooding Jubilee Hills for 2 days.,Sewage,Sewage Overflow,Jubilee Hills,2 days,27.51024,77.66797
C1050,"Underground drainage blocked, dirty sewage entering houses in MG Road.",Sewage,Sewage Overflow,MG Road,1 week,27.51071,77.66942
C1051,Live electric wire hanging dangerously from pole near Connaught Place.,Electrical,Open Wire / Sparking,Connaught Place,a few days,27.48685,77.69888
C1052,Residents falling sick due to contaminated water supply in Rohini Sector 15.,Water,Contaminated Water,Rohini Sector 15,24 hours,27.49374,77.68845
C1053,Dead animal carcass lying near Rohini Sector 15 emitting horrible stench.,Sanitation,Uncollected Waste,Rohini Sector 15,2 days,27.51025,77.68961
C1054,Excessive loudspeaker noise past midnight violating regulations in MG Road.,Other,Noise Pollution,MG Road,4 days,27.51487,77.68584
C1055,Overgrown grass and weeds attracting snakes in Lajpat Nagar park.,Parks,Park Maintenance,Lajpat Nagar,2 days,27.51254,77.66808
C1056,Illegal dumping of commercial plastic and building debris at Sector 62.,Sanitation,Garbage Dump,Sector 62,yesterday,27.52308,77.67503
C1057,"Underground drainage blocked, dirty sewage entering houses in Jubilee Hills.",Sewage,Sewage Overflow,Jubilee Hills,4 days,27.52977,77.67726
C1058,Commercial delivery trucks parked illegally blocking lane at Rohini Sector 15.,Traffic,Illegal Parking,Rohini Sector 15,a few days,27.48542,77.68433
C1059,"Trash bins overflowing outside Lajpat Nagar, stray animals scattering waste.",Sanitation,Garbage Dump,Lajpat Nagar,2 days,27.50563,77.69716
C1060,"Underground drainage blocked, dirty sewage entering houses in Rohini Sector 15.",Sewage,Sewage Overflow,Rohini Sector 15,a few days,27.49925,77.68393
C1061,Complete power outage in Bandra West for 24 hours.,Electrical,Power Outage,Bandra West,24 hours,27.51529,77.69681
C1062,Residents falling sick due to contaminated water supply in Noida Sector 18.,Water,Contaminated Water,Noida Sector 18,3 days,27.51643,77.68187
C1063,Large tree branch fell down blocking walkway in MG Road garden.,Parks,Tree Falling,MG Road,5 days,27.52978,77.69651
C1064,Broken speed breaker without markings near Rohini Sector 15.,Roads,Damaged Road,Rohini Sector 15,5 days,27.48827,77.70616
C1065,General civic grievance regarding services delay in Saket.,Other,Other,Saket,3 days,27.50017,77.67479
C1066,Dead animal carcass lying near Andheri East emitting horrible stench.,Sanitation,Uncollected Waste,Andheri East,4 days,27.52718,77.70418
C1067,Severe traffic gridlock due to illegal parking in Jubilee Hills.,Traffic,Traffic Congestion,Jubilee Hills,a few days,27.52981,77.70123
C1068,Dark street due to fused sodium lamps near Rohini Sector 15 park.,Electrical,Street Light,Rohini Sector 15,2 days,27.51739,77.69637
C1069,Massive pothole in front of market Sector 62 since 3 days.,Roads,Pothole,Sector 62,3 days,27.50876,77.7064
C1070,Stray dog menace and aggressive biting incidents in Lajpat Nagar.,Other,Animal Menace,Lajpat Nagar,4 days,27.52725,77.69176
C1071,Massive pothole in front of market HSR Layout since 1 week.,Roads,Pothole,HSR Layout,1 week,27.49375,77.6712
C1072,Dark street due to fused sodium lamps near MG Road park.,Electrical,Street Light,MG Road,yesterday,27.5172,77.68352
C1073,Severe water shortage in Vasant Kunj for the past 2 days.,Water,No Water Supply,Vasant Kunj,2 days,27.50172,77.68107
C1074,Open manhole cover on busy street near Bandra West posing fatal hazard.,Sewage,Open Manhole,Bandra West,4 days,27.50569,77.70227
C1075,Dark street due to fused sodium lamps near Salt Lake park.,Electrical,Street Light,Salt Lake,4 days,27.52565,77.67118
C1076,Residents falling sick due to contaminated water supply in Bandra West.,Water,Contaminated Water,Bandra West,2 days,27.51851,77.67581
C1077,"Trash bins overflowing outside Rohini Sector 15, stray animals scattering waste.",Sanitation,Garbage Dump,Rohini Sector 15,5 days,27.50595,77.69374
C1078,Complete power outage in Andheri East for 2 days.,Electrical,Power Outage,Andheri East,2 days,27.51817,77.69813
C1079,Massive pothole in front of market Civil Lines since 24 hours.,Roads,Pothole,Civil Lines,24 hours,27.5081,77.67014
C1080,Dead animal carcass lying near Krishna Nagar emitting horrible stench.,Sanitation,Uncollected Waste,Krishna Nagar,4 days,27.49753,77.70754
C1081,Dead animal carcass lying near Salt Lake emitting horrible stench.,Sanitation,Uncollected Waste,Salt Lake,24 hours,27.49755,77.68859
C1082,Massive pothole in front of market Lajpat Nagar since 5 days.,Roads,Pothole,Lajpat Nagar,5 days,27.49645,77.67975
C1083,Traffic signals completely dead at HSR Layout junction creating massive jam.,Traffic,Traffic Signal Issue,HSR Layout,a few days,27.52242,77.68622
C1084,Sewage water overflowing from manhole flooding Saket for 24 hours.,Sewage,Sewage Overflow,Saket,24 hours,27.49905,77.68863
C1085,Transformer sparking loudly and emitting smoke near Rohini Sector 15.,Electrical,Open Wire / Sparking,Rohini Sector 15,2 days,27.489,77.70289
C1086,"Main drinking water pipeline burst near Jubilee Hills, water wasting since 2 days.",Water,Water Leakage,Jubilee Hills,2 days,27.51668,77.70114
C1087,There is a large dangerous pothole near Rohini Sector 15 for yesterday causing vehicle accidents.,Roads,Pothole,Rohini Sector 15,yesterday,27.48589,77.67885
C1088,Underground pipe leaking near Lajpat Nagar causing water pressure loss.,Water,Water Leakage,Lajpat Nagar,a few days,27.5238,77.674
C1089,Massive pothole in front of market Karol Bagh since a few days.,Roads,Pothole,Karol Bagh,a few days,27.5149,77.70984
C1090,"Deep crater on road outside Vasant Kunj, two wheelers skidding constantly.",Roads,Pothole,Vasant Kunj,5 days,27.49387,77.68507
C1091,Huge pile of uncollected garbage rotting at Connaught Place for 4 days.,Sanitation,Garbage Dump,Connaught Place,4 days,27.50237,77.6686
C1092,Tar and asphalt cracked creating hazardous bumps at Salt Lake.,Roads,Damaged Road,Salt Lake,2 days,27.5146,77.69051
C1093,Broken speed breaker without markings near MG Road.,Roads,Damaged Road,MG Road,4 days,27.48928,77.66856
C1094,Underground pipe leaking near Jubilee Hills causing water pressure loss.,Water,Water Leakage,Jubilee Hills,24 hours,27.51515,77.69192
C1095,Live electric wire hanging dangerously from pole near Bandra West.,Electrical,Open Wire / Sparking,Bandra West,2 days,27.51517,77.69949
C1096,Open manhole cover on busy street near Koramangala posing fatal hazard.,Sewage,Open Manhole,Koramangala,5 days,27.48584,77.66747
C1097,Overgrown grass and weeds attracting snakes in Karol Bagh park.,Parks,Park Maintenance,Karol Bagh,yesterday,27.51599,77.67339
C1098,Traffic light malfunctioning and blinking red at Andheri East.,Traffic,Traffic Signal Issue,Andheri East,4 days,27.48926,77.68774
C1099,Huge pile of uncollected garbage rotting at Krishna Nagar for 1 week.,Sanitation,Garbage Dump,Krishna Nagar,1 week,27.52821,77.69042
C1100,General civic grievance regarding services delay in Dwarka Sector 10.,Other,Other,Dwarka Sector 10,1 week,27.50369,77.68314
C1101,There is a large dangerous pothole near Krishna Nagar for a few days causing vehicle accidents.,Roads,Pothole,Krishna Nagar,a few days,27.49467,77.695
C1102,Dead animal carcass lying near Noida Sector 18 emitting horrible stench.,Sanitation,Uncollected Waste,Noida Sector 18,2 days,27.49169,77.70421
C1103,Stray dog menace and aggressive biting incidents in Vasant Kunj.,Other,Animal Menace,Vasant Kunj,24 hours,27.49305,77.69788
C1104,Frequent power tripping and voltage fluctuation in Vasant Kunj.,Electrical,Power Outage,Vasant Kunj,1 week,27.51394,77.69576
C1105,Live electric wire hanging dangerously from pole near Krishna Nagar.,Electrical,Open Wire / Sparking,Krishna Nagar,5 days,27.50488,77.69015
C1106,Stray dog menace and aggressive biting incidents in HSR Layout.,Other,Animal Menace,HSR Layout,1 week,27.52133,77.701
C1107,Severe water shortage in Bandra West for the past a few days.,Water,No Water Supply,Bandra West,a few days,27.50852,77.67788
C1108,Street lights not working along entire road in MG Road for 24 hours.,Electrical,Street Light,MG Road,24 hours,27.52602,77.70722
C1109,Stray dog menace and aggressive biting incidents in Salt Lake.,Other,Animal Menace,Salt Lake,a few days,27.49242,77.69402
C1110,Underground pipe leaking near Lajpat Nagar causing water pressure loss.,Water,Water Leakage,Lajpat Nagar,3 days,27.52007,77.70982
C1111,There is a large dangerous pothole near Jubilee Hills for 1 week causing vehicle accidents.,Roads,Pothole,Jubilee Hills,1 week,27.5201,77.6984
C1112,Commercial delivery trucks parked illegally blocking lane at Lajpat Nagar.,Traffic,Illegal Parking,Lajpat Nagar,2 days,27.48999,77.69582
C1113,Children swing set broken with sharp rusted metal in Connaught Place park.,Parks,Damaged Equipment,Connaught Place,3 days,27.51018,77.66534
C1114,"Underground drainage blocked, dirty sewage entering houses in Civil Lines.",Sewage,Sewage Overflow,Civil Lines,a few days,27.51881,77.67039
C1115,Dead animal carcass lying near Bandra West emitting horrible stench.,Sanitation,Uncollected Waste,Bandra West,a few days,27.52783,77.66955
C1116,Stray dog menace and aggressive biting incidents in Indiranagar.,Other,Animal Menace,Indiranagar,a few days,27.50256,77.66533
C1117,Broken drain lid collapsed into gutter at Noida Sector 18.,Sewage,Open Manhole,Noida Sector 18,2 days,27.52876,77.68645
C1118,Broken speed breaker without markings near Dwarka Sector 10.,Roads,Damaged Road,Dwarka Sector 10,4 days,27.51057,77.69283
C1119,Open manhole cover on busy street near Karol Bagh posing fatal hazard.,Sewage,Open Manhole,Karol Bagh,2 days,27.51015,77.70701
C1120,Live electric wire hanging dangerously from pole near Noida Sector 18.,Electrical,Open Wire / Sparking,Noida Sector 18,4 days,27.52293,77.67652
C1121,Severe traffic gridlock due to illegal parking in Noida Sector 18.,Traffic,Traffic Congestion,Noida Sector 18,1 week,27.52779,77.68991
C1122,Dead animal carcass lying near MG Road emitting horrible stench.,Sanitation,Uncollected Waste,MG Road,1 week,27.50641,77.68624
C1123,Traffic light malfunctioning and blinking red at Indiranagar.,Traffic,Traffic Signal Issue,Indiranagar,yesterday,27.52286,77.6713
C1124,Drinking water coming with foul smell and yellowish dirty color in Andheri East.,Water,Contaminated Water,Andheri East,24 hours,27.50802,77.69157
C1125,"No water supply for 24 hours in Saket, please restore immediately.",Water,No Water Supply,Saket,24 hours,27.49922,77.67339
C1126,Huge pile of uncollected garbage rotting at Civil Lines for 2 days.,Sanitation,Garbage Dump,Civil Lines,2 days,27.5221,77.67867
C1127,Broken drain lid collapsed into gutter at Koramangala.,Sewage,Open Manhole,Koramangala,a few days,27.4937,77.69788
C1128,Street lights not working along entire road in MG Road for 1 week.,Electrical,Street Light,MG Road,1 week,27.5076,77.70133
C1129,General civic grievance regarding services delay in Andheri East.,Other,Other,Andheri East,yesterday,27.50005,77.69976
C1130,Broken drain lid collapsed into gutter at Connaught Place.,Sewage,Open Manhole,Connaught Place,5 days,27.49037,77.68353
C1131,Residents falling sick due to contaminated water supply in HSR Layout.,Water,Contaminated Water,HSR Layout,5 days,27.51297,77.687
C1132,Huge pile of uncollected garbage rotting at Janakpuri for 2 days.,Sanitation,Garbage Dump,Janakpuri,2 days,27.49277,77.6778
C1133,Stray dog menace and aggressive biting incidents in Bandra West.,Other,Animal Menace,Bandra West,1 week,27.51583,77.66579
C1134,Excessive loudspeaker noise past midnight violating regulations in Connaught Place.,Other,Noise Pollution,Connaught Place,a few days,27.4912,77.69178
C1135,Traffic light malfunctioning and blinking red at Noida Sector 18.,Traffic,Traffic Signal Issue,Noida Sector 18,2 days,27.5253,77.69228
C1136,Drinking water coming with foul smell and yellowish dirty color in Krishna Nagar.,Water,Contaminated Water,Krishna Nagar,a few days,27.50797,77.67851
C1137,Garbage truck has not arrived for 1 week in Bandra West.,Sanitation,Uncollected Waste,Bandra West,1 week,27.49547,77.69762
C1138,Severe water shortage in Salt Lake for the past 1 week.,Water,No Water Supply,Salt Lake,1 week,27.5225,77.67314
C1139,Frequent power tripping and voltage fluctuation in Lajpat Nagar.,Electrical,Power Outage,Lajpat Nagar,3 days,27.49236,77.67591
C1140,Tar and asphalt cracked creating hazardous bumps at Bandra West.,Roads,Damaged Road,Bandra West,24 hours,27.48947,77.69356
C1141,Severe water shortage in Krishna Nagar for the past 1 week.,Water,No Water Supply,Krishna Nagar,1 week,27.50208,77.67052
C1142,"No water supply for 24 hours in Janakpuri, please restore immediately.",Water,No Water Supply,Janakpuri,24 hours,27.5193,77.6995
C1143,Stray dog menace and aggressive biting incidents in Lajpat Nagar.,Other,Animal Menace,Lajpat Nagar,yesterday,27.48726,77.68169
C1144,Garbage truck has not arrived for 24 hours in Saket.,Sanitation,Uncollected Waste,Saket,24 hours,27.51026,77.69793
C1145,Stray dog menace and aggressive biting incidents in Jubilee Hills.,Other,Animal Menace,Jubilee Hills,1 week,27.5141,77.7029
C1146,"No water supply for yesterday in Sector 62, please restore immediately.",Water,No Water Supply,Sector 62,yesterday,27.48684,77.66869
C1147,Residents falling sick due to contaminated water supply in Sector 62.,Water,Contaminated Water,Sector 62,a few days,27.51406,77.68528
C1148,Illegal dumping of commercial plastic and building debris at Salt Lake.,Sanitation,Garbage Dump,Salt Lake,yesterday,27.49314,77.70075
C1149,Excessive loudspeaker noise past midnight violating regulations in Noida Sector 18.,Other,Noise Pollution,Noida Sector 18,a few days,27.50631,77.67903
C1150,Traffic light malfunctioning and blinking red at Krishna Nagar.,Traffic,Traffic Signal Issue,Krishna Nagar,24 hours,27.52001,77.70033
C1151,Stormwater drain clogged with plastic in Jubilee Hills.,Sewage,Blocked Drain,Jubilee Hills,24 hours,27.51564,77.7081
C1152,Traffic signals completely dead at Koramangala junction creating massive jam.,Traffic,Traffic Signal Issue,Koramangala,24 hours,27.52389,77.695
C1153,Drinking water coming with foul smell and yellowish dirty color in Saket.,Water,Contaminated Water,Saket,yesterday,27.48932,77.68499
C1154,Sewage water overflowing from manhole flooding Vasant Kunj for 1 week.,Sewage,Sewage Overflow,Vasant Kunj,1 week,27.52909,77.68813
C1155,Complete power outage in Karol Bagh for 2 days.,Electrical,Power Outage,Karol Bagh,2 days,27.50306,77.68992
C1156,Large tree branch fell down blocking walkway in Sector 62 garden.,Parks,Tree Falling,Sector 62,5 days,27.49238,77.6906
C1157,Severe traffic gridlock due to illegal parking in Connaught Place.,Traffic,Traffic Congestion,Connaught Place,4 days,27.50912,77.68163
C1158,Open manhole cover on busy street near Indiranagar posing fatal hazard.,Sewage,Open Manhole,Indiranagar,1 week,27.4956,77.70158
C1159,Garbage truck has not arrived for 4 days in HSR Layout.,Sanitation,Uncollected Waste,HSR Layout,4 days,27.50441,77.69147
C1160,Stormwater drain clogged with plastic in Jubilee Hills.,Sewage,Blocked Drain,Jubilee Hills,24 hours,27.52488,77.69112
C1161,Dark street due to fused sodium lamps near Connaught Place park.,Electrical,Street Light,Connaught Place,3 days,27.52643,77.67082
C1162,Tar and asphalt cracked creating hazardous bumps at Dwarka Sector 10.,Roads,Damaged Road,Dwarka Sector 10,4 days,27.50541,77.70037
C1163,Excessive loudspeaker noise past midnight violating regulations in Andheri East.,Other,Noise Pollution,Andheri East,3 days,27.51847,77.69824
C1164,Dead animal carcass lying near Bandra West emitting horrible stench.,Sanitation,Uncollected Waste,Bandra West,a few days,27.49058,77.66833
C1165,Broken drain lid collapsed into gutter at Dwarka Sector 10.,Sewage,Open Manhole,Dwarka Sector 10,1 week,27.52353,77.67166
C1166,There is a large dangerous pothole near Krishna Nagar for 5 days causing vehicle accidents.,Roads,Pothole,Krishna Nagar,5 days,27.524,77.68232
C1167,Tar and asphalt cracked creating hazardous bumps at Karol Bagh.,Roads,Damaged Road,Karol Bagh,4 days,27.50503,77.68528
C1168,Huge pile of uncollected garbage rotting at Indiranagar for 1 week.,Sanitation,Garbage Dump,Indiranagar,1 week,27.51059,77.67068
C1169,Dead animal carcass lying near Noida Sector 18 emitting horrible stench.,Sanitation,Uncollected Waste,Noida Sector 18,yesterday,27.51828,77.70864
C1170,Overgrown grass and weeds attracting snakes in Lajpat Nagar park.,Parks,Park Maintenance,Lajpat Nagar,5 days,27.5056,77.70608
C1171,Frequent power tripping and voltage fluctuation in Janakpuri.,Electrical,Power Outage,Janakpuri,a few days,27.51493,77.695
C1172,Garbage truck has not arrived for 3 days in Sector 62.,Sanitation,Uncollected Waste,Sector 62,3 days,27.49925,77.70122
C1173,Street lights not working along entire road in Saket for yesterday.,Electrical,Street Light,Saket,yesterday,27.50138,77.70165
C1174,Commercial delivery trucks parked illegally blocking lane at Dwarka Sector 10.,Traffic,Illegal Parking,Dwarka Sector 10,1 week,27.51474,77.69773
C1175,Transformer sparking loudly and emitting smoke near Andheri East.,Electrical,Open Wire / Sparking,Andheri East,1 week,27.51592,77.68525
C1176,Tar and asphalt cracked creating hazardous bumps at Civil Lines.,Roads,Damaged Road,Civil Lines,3 days,27.49007,77.66676
C1177,Drinking water coming with foul smell and yellowish dirty color in Koramangala.,Water,Contaminated Water,Koramangala,2 days,27.52579,77.68116
C1178,"Underground drainage blocked, dirty sewage entering houses in Saket.",Sewage,Sewage Overflow,Saket,5 days,27.52467,77.70672
C1179,Huge pile of uncollected garbage rotting at Lajpat Nagar for 2 days.,Sanitation,Garbage Dump,Lajpat Nagar,2 days,27.51532,77.69397
C1180,Massive pothole in front of market Noida Sector 18 since a few days.,Roads,Pothole,Noida Sector 18,a few days,27.48855,77.68438
C1181,"Deep crater on road outside MG Road, two wheelers skidding constantly.",Roads,Pothole,MG Road,24 hours,27.49087,77.70931
C1182,Residents falling sick due to contaminated water supply in Jubilee Hills.,Water,Contaminated Water,Jubilee Hills,yesterday,27.51832,77.68255
C1183,Traffic signals completely dead at Janakpuri junction creating massive jam.,Traffic,Traffic Signal Issue,Janakpuri,a few days,27.49051,77.70218
C1184,Huge pile of uncollected garbage rotting at Lajpat Nagar for 3 days.,Sanitation,Garbage Dump,Lajpat Nagar,3 days,27.52681,77.66621
C1185,Severe traffic gridlock due to illegal parking in Jubilee Hills.,Traffic,Traffic Congestion,Jubilee Hills,3 days,27.52641,77.69992
C1186,"Deep crater on road outside Jubilee Hills, two wheelers skidding constantly.",Roads,Pothole,Jubilee Hills,5 days,27.52461,77.68151
C1187,There is a large dangerous pothole near Dwarka Sector 10 for 2 days causing vehicle accidents.,Roads,Pothole,Dwarka Sector 10,2 days,27.51264,77.70374
C1188,Broken drain lid collapsed into gutter at MG Road.,Sewage,Open Manhole,MG Road,5 days,27.48752,77.6984
C1189,"Main drinking water pipeline burst near Sector 62, water wasting since 5 days.",Water,Water Leakage,Sector 62,5 days,27.51392,77.68586
C1190,Garbage truck has not arrived for a few days in Lajpat Nagar.,Sanitation,Uncollected Waste,Lajpat Nagar,a few days,27.50783,77.69236
C1191,Massive pothole in front of market Andheri East since 3 days.,Roads,Pothole,Andheri East,3 days,27.523,77.67362
C1192,Residents falling sick due to contaminated water supply in Rohini Sector 15.,Water,Contaminated Water,Rohini Sector 15,a few days,27.51617,77.70797
C1193,Children swing set broken with sharp rusted metal in Krishna Nagar park.,Parks,Damaged Equipment,Krishna Nagar,5 days,27.49418,77.66526
C1194,Residents falling sick due to contaminated water supply in Lajpat Nagar.,Water,Contaminated Water,Lajpat Nagar,4 days,27.5027,77.70743
C1195,Stormwater drain clogged with plastic in Civil Lines.,Sewage,Blocked Drain,Civil Lines,2 days,27.50684,77.70934
C1196,Excessive loudspeaker noise past midnight violating regulations in Sector 62.,Other,Noise Pollution,Sector 62,1 week,27.50737,77.70311
C1197,Traffic light malfunctioning and blinking red at Koramangala.,Traffic,Traffic Signal Issue,Koramangala,a few days,27.51594,77.67437
C1198,"Main drinking water pipeline burst near Jubilee Hills, water wasting since 2 days.",Water,Water Leakage,Jubilee Hills,2 days,27.48696,77.68683
C1199,Broken speed breaker without markings near Koramangala.,Roads,Damaged Road,Koramangala,2 days,27.50061,77.68879
C1200,Illegal dumping of commercial plastic and building debris at Jubilee Hills.,Sanitation,Garbage Dump,Jubilee Hills,2 days,27.49362,77.68673
C1201,Severe water shortage in Civil Lines for the past yesterday.,Water,No Water Supply,Civil Lines,yesterday,27.52027,77.70927
C1202,Traffic signals completely dead at Noida Sector 18 junction creating massive jam.,Traffic,Traffic Signal Issue,Noida Sector 18,yesterday,27.51127,77.70255
C1203,Complete power outage in MG Road for 5 days.,Electrical,Power Outage,MG Road,5 days,27.49604,77.67081
C1204,Garbage truck has not arrived for yesterday in Civil Lines.,Sanitation,Uncollected Waste,Civil Lines,yesterday,27.52252,77.66549
C1205,Sewage water overflowing from manhole flooding Krishna Nagar for a few days.,Sewage,Sewage Overflow,Krishna Nagar,a few days,27.48883,77.70118
C1206,Massive pothole in front of market Rohini Sector 15 since 3 days.,Roads,Pothole,Rohini Sector 15,3 days,27.4942,77.68172
C1207,Huge pile of uncollected garbage rotting at Salt Lake for 5 days.,Sanitation,Garbage Dump,Salt Lake,5 days,27.4923,77.69398
C1208,Tar and asphalt cracked creating hazardous bumps at Noida Sector 18.,Roads,Damaged Road,Noida Sector 18,24 hours,27.50666,77.69257
C1209,Broken speed breaker without markings near Jubilee Hills.,Roads,Damaged Road,Jubilee Hills,24 hours,27.51372,77.67769
C1210,Children swing set broken with sharp rusted metal in Indiranagar park.,Parks,Damaged Equipment,Indiranagar,1 week,27.52385,77.67697
C1211,Street lights not working along entire road in Jubilee Hills for 4 days.,Electrical,Street Light,Jubilee Hills,4 days,27.51343,77.69407
C1212,Garbage truck has not arrived for a few days in Jubilee Hills.,Sanitation,Uncollected Waste,Jubilee Hills,a few days,27.50324,77.67608
C1213,Garbage truck has not arrived for 4 days in MG Road.,Sanitation,Uncollected Waste,MG Road,4 days,27.49058,77.69448
C1214,Stray dog menace and aggressive biting incidents in MG Road.,Other,Animal Menace,MG Road,3 days,27.51258,77.69698
C1215,Severe traffic gridlock due to illegal parking in Andheri East.,Traffic,Traffic Congestion,Andheri East,5 days,27.52953,77.70852
